Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
The Great King,1942,1740-1786,1740,1786,46,It depicts the life of Frederick the Great,Germany
Aguila,1980,1899-1945,1899,1945,46,Philippine history,Philippines
Viking,2016,970-1016,970,1016,46,Vladimir I of Kiev,Kiev
Francis of Assisi,1961,1181-1226,1181,1226,45,Francis of Assisi,Italy
Elizabeth R,1971,1558-1603,1558,1603,45,The reign of Elizabeth I of England.,England
"Brother Sun, Sister Moon",1972,1181-1226,1181,1226,45,Francis of Assisi,Italy
Francesco,1989,1181-1226,1181,1226,45,Francis of Assisi,Italy
The Virgin Queen,2005,1558-1603,1558,1603,45,The reign of Elizabeth I of England.,England
A Frozen Flower,2008,1330-1374,1330,1374,44,Set during the late Goryeo Dynasty.,Korea
Les Rois maudits,1972,1285-1328,1285,1328,43,the later Capetian dynasty and the arrest of the order of the Knights Templar and the seizure of their wealth by the French crown in 1307,France
Peter the Great,1984,1682-1725,1682,1725,43,The reign of Peter I of Russia,Russia
Les Rois maudits,2005,1285-1328,1285,1328,43,the later Capetian dynasty and the arrest of the order of the Knights Templar and the seizure of their wealth by the French crown in 1307,France
Belle,2013,1761-1804,1761,1804,43,"The true history of Dido Elizabeth Belle, a mixed–race daughter of British Naval officer John Lindsay and an African woman. She was taken to England by her father to be raised by his uncle, William Murray, 1st Earl of Mansfield, as an aristocratic Lady, as befits her blood line. This forces Lord Mansfield, the Lord Chief Justice, to confront his own views on race, society and the antiquated laws of the time.",England
"I, Claudius",1976,12 BC-54 AD,-12,-54,42,Rome – the reigns and family life of the Julio-Claudians,Rome
Fearless,2006,1868-1910,1868,1910,42,a biographical film about late Qing Dynasty martial artist Huo Yuanjia,China
"Carlos, rey emperador",2015,1516-1558,1516,1558,42,"The series tells the story of Charles I or Charles V, Holy Roman Emperor, one of the most powerful men Europe has met.",Roman
The Caesars,1967,27 BC-68 AD,-27,-68,41,Rome – the Julio-Claudian dynasty,Rome
Pope Joan,2009,814-855,814,855,41,Fictitious medieval legend of a woman who disguised herself as a man and rose to the status of Pope in the Middle Ages.,France
Sye Raa Narasimha Reddy,2019,1806-1847,1806,1847,41,Based on the life of Uyyalawada Narasimha Reddy,India
Samson and Delilah,1949,1118-1078 BC,-1118,-1078,40,"A romantic biblical drama film which depicts the story of Samson, a strongman whose secret lies in his uncut hair, and his love for Delilah, the woman who seduces him. Samson and Delilah are characters in the Book of Judges, where Samson is depicted as the last of the Biblical judges in its narrative, and Delilah as a woman of Nahal Sorek who was bribed by the lords of the Philistines to learn his secrets.",Gaza
Maria Theresa,1951,1740-1780,1740,1780,40,Depicts the life of Maria Theresa,Austria
"Nefertiti, Queen of the Nile",1961,1370-1330 BC,-1370,-1330,40,"Set in Ancient Egypt; loosely based on the life of Nefertiti, Great Royal Wife of the Pharaoh Akhenaten. Nefertiti and her husband were members of the Eighteenth Dynasty of Egypt, and were ruling figures of the Amarna Period.",Egypt
The Castilian,1963,930-970,930,970,40,Ferdinand Gonzalez: an early hero of the Spanish Reconquista,Spain
The Return of Martin Guerre,1982,1548-1588,1548,1588,40,The case of Martin Guerre in France – a true case of identity theft.,France
George Washington,1984,1743-1783,1743,1783,40,George Washington's life up to the American Revolutionary War,"Westmoreland County, VA"
Samson,2018,1118-1078 BC,-1118,-1078,40,Samson is a 2018 Biblical drama film directed by Bruce Macdonald and inspired by the story of Samson in the Book of Judges.,Gaza
Veerapandiya Kattabomman,1959,1760-1799,1760,1799,39,"About the resistance of Veerapandiya Kattabomman to the Company rule in India, rule of the East India Company",India
Redbad,2018,c.680-719,680,719,39,"a Dutch drama film based on the life of Redbad, King of the Frisians, who is often considered the last independent ruler of Frisia before Frankish domination",Frisia
The Private Life of Henry VIII,1933,1509-1547,1509,1547,38,Henry VIII of England,England
The Six Wives of Henry VIII,1970,1509-1547,1509,1547,38,Henry VIII of England,England
The Ceremony of Innocence,1970,978-1016,978,1016,38,a fictionalized version of the reign of Æthelred the Unready,England
Henry VIII and His Six Wives,1972,1509-1547,1509,1547,38,Henry VIII of England,England
Burebista,1980,82-44 BC,-82,-44,38,The reign of King Burebista of Dacia(modern day Romania),Romania
Monarch,2000,1509-1547,1509,1547,38,Henry VIII of England,England
Henry VIII,2003,1509-1547,1509,1547,38,Henry VIII of England,England
Vijaya Kuweni,2012,543-505 BC,-543,-505,38,based on the historical tale of Wijaya-Kuveni,India
Turn: Washington's Spies,2014,1776-1814,1776,1814,38,American Revolutionary War,northeastern united states
Ekaterina,2014,1744-1782,1744,1782,38,Catherine II of Russia,Russia
A Tale of Two Cities,1911,1755-1792,1755,1792,37,England and France prior and during the French Revolution.,France
A Tale of Two Cities,1935,1755-1792,1755,1792,37,England and France prior and during the French Revolution.,France
A Tale of Two Cities,1958,1755-1792,1755,1792,37,England and France prior and during the French Revolution.,France
King of Kings,1961,4 BC to 30-33 AD,-4,33,37,Judea – Dramatization of the story of Jesus of Nazareth from his birth and ministry to his crucifixion and resurrection.,bethlehem
Kazimierz Wielki,1976,1333-1370,1333,1370,37,Casimir III the Great of Poland,Poland
Jesus of Nazareth,1977,4 BC to 30-33 AD,-4,33,37,Judea – the life of Jesus Christ,bethlehem
A Tale of Two Cities,1980,1755-1792,1755,1792,37,England and France prior and during the French Revolution.,France
King Naresuan,2007,1555-1592,1555,1592,37,"The film is set after event in The Legend of Suriyothai about Naresuan, the King of Siam who executes the plotters and ceremoniously declares Ayutthaya free and sovereign from Hanthawadi",Thailand
Mongol,2007,1192-1229,1192,1229,37,based on the early life of Genghis Khan,Mongolia
Diane,1956,1523-1559,1523,1559,36,Based on the relationship between Diane de Poitiers and Henry II of France.,France
Vera Puran Appu,1979,1812-1848,1812,1848,36,based on freedom fighter Puran Appu,Sri Lanka
Asoka,2001,268 - 232 BC,-268,-232,36,"fictionalized account of the reign of Ashoka (r. ), of the Mauryan Empire in India",India
Charles II: The Power and The Passion,2003,1649-1685,1649,1685,36,The reign of Charles II of England,England
Genghis Khan: To the Ends of the Earth and Sea,2007,1192-1228,1192,1228,36,Japanese-Mongolian film about the life of Genghis Khan,Mongolia
Genghis Khan,1950,1192-1227,1192,1227,35,Life of the Mongol Emperor and the Succession of his throne.,Mongolia
The Flame and the Arrow,1950,1155-1190,1155,1190,35,"Dardo, a Robin Hood-like figure, and his loyal followers use a Roman ruin in Medieval Lombardy as their headquarters as they conduct an insurgency against their Hessian conquerors.",Northern Italy
The Conqueror,1956,1192-1227,1192,1227,35,"A film about the life of Temüjin, who later came to be known as Genghis Khan",Mongolia
The Conqueror,1956,1192-1227,1192,1227,35,"universally panned as a terrible film, this English-language film starred John Wayne as Genghis Khan",Mongolia
Genghis Khan,1965,1192-1227,1192,1227,35,the life and conquests of the Mongol emperor,Mongolia
Amadeus,1984,1756-1791,1756,1791,35,Austria composer Wolfgang Amadeus Mozart,Austria
Jose Rizal,1998,1861-1896,1861,1896,35,"The life of the Philippine National Hero, José Rizal.",Philippines
Imperium: Augustus,2003,49 BC-14 AD,-49,-14,35,"Rome – the life of Augustus, the first emperor",Rome
Prince Vladimir,2006,980-1015,980,1015,35,Vladimir I of Kiev,Kiev
