Title,Release date,Time Period,Start Time,End Time,Diff,Notes on setting,Location
Julius Caesar (many adaptations),1908,44-42 BC,-44,-42,2,Shakespeare's play about the death and aftermath of this famous dictator,Rome
Spartacus,2010,73-71 BC,-73,-71,2,the Third Servile War in Rome,Italy
Caesar and Cleopatra,1945,48-47 BC,-48,-47,1,Egypt during the stay of Julius Caesar,Egypt
The Master of Ballantrae,1953,1745-1746,1745,1746,1,Jacobite Rising of 1745,England
Sissi – The Young Empress,1956,1855-1856,1855,1856,1,Sissi adapts to life as Empress of Austria.,Austria
Princess Sen and Hideyori,1962,1615-1616,1615,1616,1,,Japan
Culloden,1964,1745-1746,1745,1746,1,Jacobite Rising of 1745,England
Shinobi no Mono 4: Siege,1964,1614-1615,1614,1615,1,,Japan
Dacii,1967,86-87,86,87,1,Dacia (modern Romania) – Domitian's Dacian War,Romania
Mayerling,1968,1888-1889,1888,1889,1,"Based on the Mayerling Incident, a series of events leading to the apparent murder–suicide of Crown Prince Rudolf of Austria and his lover Baroness Mary Vetsera.",Austria
The Column,1968,105-106,105,106,1,the Roman emperor Trajan conquering Dacia,Transylvania
Red Lion,1969,1867-1868,1867,1868,1,,Japan
El Santo de la Espada,1970,1821-1822,1821,1822,1,José de San Martín and the Spanish American wars of independence,Chile
Shogun's Samurai,1978,1623-1624,1623,1624,1,,Japan
Samurai Reincarnation,1981,1637-1638,1637,1638,1,,Japan
Masada,1981,72-73,72,73,1,Roman province of Judea during the First Jewish–Roman War,Rome
The Master of Ballantrae,1984,1745-1746,1745,1746,1,Jacobite Rising of 1745,England
Revolution,1985,1776-1777,1776,1777,1,Fictionalized story of the American Revolution in New York,New York
Kivulegedara Mohottala,1987,1817-1818,1817,1818,1,based on freedom fighter Kivulegedara Mohottala and Great Rebellion of 1817–1818,Sri Lanka
Glory,1989,1862-1863,1862,1863,1,The American Civil War from the Battle of Antietam to the Second Battle of Fort Wagner,Eastern US
Chasing the Deer,1994,1745-1746,1745,1746,1,Jacobite Rising of 1745,England
The Crucible,1996,1692-1693,1692,1693,1,Dramatization of the Salem witch trials that took place in Province of Massachusetts Bay,Massachusetts
Ned Kelly,2003,1878-1879,1878,1879,1,Biographical film of Ned Kelly based on the historical novel Our Sunshine,Australia
The Last Samurai,2003,1876-1877,1876,1877,1,"Events in the wake of the Meiji Restoration in the Empire of Japan, 1876–1877",Japan
Colosseum: Rome's Arena of Death,2003,79-80,79,80,1,"tells story of Verus, a gladiator who fought at the Colosseum in Rome.",Rome
The New World,2005,1607-1608,1607,1608,1,"The colonization of Jamestown, Virginia",Virgina
Red Cliff,2008,winter of 208-209,208,209,1,epic war film based on the Battle of Red Cliffs,China
Kerala Varma Pazhassi Raja,2009,1796-1797,1796,1797,1,Life of Pazhassi Raja-an Indian royal resisting the East India Company,India
Nova Zembla,2011,1596-1597,1596,1597,1,"About the last journey of Willem Barentsz and Jacob van Heemskerk, when they and their crew attempted sail to the Indies via Northeast Passage over Russia. They were stranded on the island of Nova Zembla.",Nova Zembla
K?chiyama to Nao-zamurai,1916,0,0,0,0,Based on the play of the same name.,Japan
Nao-zamurai,1922,0,0,0,0,Based on the play of the same name.,Japan
Richard the Lion-Hearted,1923,1190,1190,1190,0,based on Sir Walter Scott's The Talisman and set in the Third Crusade,"Beirut, Lebanon"
Die Nibelungen,1924,450,450,450,0,"about the Germanic hero Siegfried, his murder, and his widow's vengeance",Germany
A Diary of Chuji's Travels,1927,0,0,0,0,Awards: 1 Kinema Junpo Award,Japan
Sword of Penitence,1927,0,0,0,0,,Japan
The Viking,1928,1000,1000,1000,0,Leif Ericson and the expedition to North America,North America
Jobless Samurai,1928,0,0,0,0,Awards: 1 Kinema Junpo Award,Japan
Wara Wara,1930,1535,1535,1535,0,Romance set at the time of the Spanish conquest of Bolivia.,Bolivia
Nao-zamurai,1930,0,0,0,0,Based on the play of the same name.,Japan
Jirokichi the Rat,1931,0,0,0,0,,Japan
The Sign of the Cross,1932,64,64,64,0,Persecution of the Christians immediately after the Great Fire of Rome,Rome
Ch?shingura Zenpen: Ak?ky? no maki,1932,0,0,0,0,,Japan
The Scarlet Pimpernel,1934,1792,1792,1792,0,French Revolution,France
Treasure Island,1934,1750,1750,1750,0,Adaptation of the famous pirate story by Robert Louis Stevenson,Nassau
"Ch?shingura - Ninj?-hen, Fukush?-hen",1934,0,0,0,0,,Japan
Mutiny on the Bounty,1935,1789,1789,1789,0,the Mutiny on the Bounty,Tahiti
Clive of India,1935,1757,1757,1757,0,"Robert Clive, Commander-in-Chief, India and the Battle of Plassey. The Battle was part of the Carnatic Wars.",Palashi
The Million Ryo Pot,1935,0,0,0,0,,Japan
"The Avenging Ghost of Yukinojo, Part 1",1935,0,0,0,0,,Japan
"The Avenging Ghost of Yukinojo, Part 2",1935,0,0,0,0,,Japan
Daibosatsu t?ge: dai-ippen - K?gen itto-ry? no maki,1935,0,0,0,0,,Japan
The Last of the Mohicans,1936,1757,1757,1757,0,French and Indian War,Quebec
Tudor Rose (Nine Days a Queen),1936,1553,1553,1553,0,"About Lady Jane Grey, Queen Regnant of the Kingdom of England for nine days.",England
"The Avenging Ghost of Yukinojo, Part 3",1936,0,0,0,0,,Japan
Daibosatsu t?ge: Suzuka-yama no maki - Mibu Shimabara no maki,1936,0,0,0,0,,Japan
Humanity and Paper Balloons,1937,1700,1700,1700,0,,Japan
Fire Over England,1937,1588,1588,1588,0,The Spanish Armada during the Anglo-Spanish War.,Spain
Ambikapathy,1937,1083,1083,1083,0,"Tamil, a love story set in India in 1083",India
Chikemuri Takadanobaba,1937,0,0,0,0,,Japan
Scipio Africanus: The Defeat of Hannibal,1937,202 BC,-202,-202,0,Battle of Zama which ended the Second Punic War,Tunisia
Alexander Nevsky,1938,1241,1241,1241,0,Prince Alexander Nevsky and the Battle of the Ice,Northeastern Europe
The Adventures of Robin Hood,1938,1190,1190,1190,0,During the life of Richard the Lionheart after his release from captivity in 1194,England
Drums Along the Mohawk,1939,1776,1776,1776,0,"Settlers during the American Revolution. They are raided by a combined force of British, Loyalist, and Indian raiders.",New York
"Chushingura, Part One",1939,1701,1701,1701,0,,Japan
"Chushingura, Part Two",1939,1701,1701,1701,0,,Japan
Singing Lovebirds,1939,0,0,0,0,,Japan
A Color Print of Edo,1939,0,0,0,0,,Japan
Pride and Prejudice,1940,early 1900 ,1813,1813,0,adaptation of Jane Austen's 1813 novel set during the Regency era in Great Britain,UK
Northwest Passage,1940,1757,1757,1757,0,French and Indian War and the ranger campaign of Robert Rogers,Quebec
Sikandar,1941,326 BC,-326,-326,0,Set after Alexander the Great's conquest of Persia and as he pertains to his conquest of the kingdoms of Pauravas.,Jhelum
Day of Wrath,1943,1624,1624,1624,0,"Loosely based on the case of alleged witch Anne Pedersdotter, and using a fictitious witchcraft trial as a metaphor for the then-current Nazi persecution of Jews.","Salem, Massachusetts"
Kikuchi sembon-yari: Shidonî tokubetsu k?geki-tai,1944,0,0,0,0,,Japan
A Tale of Archery at the Sanjusangendo,1945,0,0,0,0,,Japan
Centennial Summer,1946,1876,1876,1876,0,Set in Philadelphia at the time of the Centennial Exposition,Philadelphia
Utamaro and His Five Women,1946,1800,1800,1800,0,,Japan
The Queen's Necklace,1946,1780,1780,1780,0,"Based on the Affair of the Diamond Necklace. Jeanne of Valois-Saint-Rémy, a descendant of the House of Valois and courtesan takes revenge by scamming Marie Antoinette, Cardinal de Rohan, and others. The scandal kindling the flames of the French Revolution.",France
Unconquered,1947,1763,1763,1763,0,Pontiac's War focusing on the Siege of Fort Pitt.,Fort Pitt
Sur?nin makarit?ru,1947,0,0,0,0,,Japan
Macbeth,1948,1050,1050,1050,0,Scottish king Mac Bethad mac Findlaích,Scotland
Hamlet,1948,600,600,600,0,Denmark in the Germanic Heroic Age – adaptation of the Shakespeare play based on the Danish legend of Amleth,Denmark
Eureka Stockade,1949,1854,1854,1854,0,"Peter Lalor and the Eureka Rebellion, a gold miners' rebellion at the Eureka Stockade (Ballarat, Australia).",Ballarat
Fabiola,1949,312,312,312,0,Rome early in the reign of Constantine I,Rome
Tripoli,1950,1805,1805,1805,0,Battle of Derne,Libya
Treasure Island,1950,1750,1750,1750,0,Adaptation of the famous pirate story by Robert Louis Stevenson,Nassau
The Last Days of Pompeii,1950,79,79,79,0,Pompeii in the days leading up to the eruption of Mount Vesuvius,Pompeii
Ore wa yojinbo,1950,0,0,0,0,,Japan
Senritsu,1950,0,0,0,0,,Japan
Wakasama zamurai torimonoch?: nazo no n?men yashiki,1950,0,0,0,0,,Japan
Rashomon,1950,0,0,0,0,,Japan
Captain Horatio Hornblower R.N.,1951,1807,1807,1807,0,The Napoleonic Wars,France
The Golden Horde,1951,0,0,0,0,English-language film about an English knight who leads the defense of Samarkand against Genghis Khan,Uzbekistan
Kanketsu Sasaki Kojir?: Ganry?-jima kett?,1951,0,0,0,0,,Japan
Five Men of Edo,1951,0,0,0,0,,Japan
Ivanhoe,1952,1192,1192,1192,0,adaptation of the novel by Sir Walter Scott about the English knight who returns from the Third Crusade to find that his name has been falsely slandered,England
The Men Who Tread on the Tiger's Tail,1952,1185,1185,1185,0,,Japan
Androcles and the Lion,1952,161,161,161,0,Rome - Based on the 1912 George Bernard Shaw play of the same name.,Rome
Vendetta of a Samurai,1952,0,0,0,0,"Awards: 1 Blue Ribbon Award, 1 Mainichi Film Concours",Japan
The Life of Oharu,1952,0,0,0,0,,Japan
Sword for Hire,1952,0,0,0,0,,Japan
Tsukigata Hanpeita,1952,0,0,0,0,,Japan
Botany Bay,1953,1787,1787,1787,0,"Fictional story about the First Fleet sailing to Botany Bay, New South Wales",Venezuela
Rob Roy: The Highland Rogue,1953,1713,1713,1713,0,Scottish folk hero Robert Roy MacGregor,Scotland
Gate of Hell,1953,1159,1159,1159,0,"Awards: 2 Academy Awards, 1 Golden Leopard, 1 New York Film Critics Circle Award, Palme d'Or,",Japan
Ugetsu Monogatari,1953,0,0,0,0,Based on the novel of the same name.,Japan
Beau Brummell,1954,1795,1795,1795,0,"Beau Brummell, a 19th-century arbiter of fashion in England who popularized the man's suit and necktie",England
Rákóczi hadnagya,1954,1708,1708,1708,0,Adventure movie in Hungary during Rákóczi's War of Independence (1703–11).,Hungary
Samurai I: Musashi Miyamoto,1954,1600,1600,1600,0,Awards: 1 Academy Award,Japan
Seven Samurai,1954,1586,1586,1586,0,"Awards: 2 Jussi Awards, 1 Mainichi Film Award, 1 Silver Lion",Japan
La Reine Margot,1954,1572,1572,1572,0,France during the St. Bartholomew's Day massacre. The massacre was part of the French Wars of Religion.,France
King Richard and the Crusaders,1954,1191,1191,1191,0,"While leading the Third Crusade, King Richard Lionheart battles treachery in his own camp as well as the Saracens and their charismatic leader Saladin.","Beirut, Lebanon"
Demetrius and the Gladiators,1954,41,41,41,0,Ancient Rome – the end Caligula reign,Rome
Ak? gishi,1954,0,0,0,0,,Japan
The Crucified Lovers,1954,0,0,0,0,Awards: 1 Blue Ribbon Award,Japan
The Playful Fox and the Thousand Cherry Trees,1954,0,0,0,0,,Japan
Queen of Babylon,1954,600 BC,-600,-600,0,"Set in the Neo-Babylonian Empire, depicts Semiramis as a Babylonian queen.",Hillah
The Egyptian,1954,1350 BC,-1350,-1350,0,"Based on the novel The Egyptian by Mika Waltari, who adapted the Story of Sinuhe. The film mentions the pharaoh Akhenaten, the Hittite Empire, and iron technology.",Egypt
Sissi,1955,1854,1854,1854,0,"It is the first installment in the trilogy of films about Empress Elisabeth of Austria, nicknamed Sissi.",Austria
The Dark Avenger,1955,1359,1359,1359,0,"Edward, the Black Prince",England
Tower of Lust,1955,1314,1314,1314,0,"Margaret of Burgundy, Queen of France",France
Lady Godiva of Coventry,1955,1050,1050,1050,0,an English noble woman who allegedly rode naked through the streets of Coventry in protest of unfair taxation,England
Samurai II: Duel at Ichijoji Temple,1955,0,0,0,0,,Japan
The Lone Journey,1955,0,0,0,0,,Japan
Tales of the Taira Clan,1955,0,0,0,0,Awards: 1 Mainichi Film Concours,Japan
"Ak? R?shi: Ten no Maki, Chi no Maki",1956,1701,1701,1701,0,,Japan
Roland the Mighty,1956,778,778,778,0,"Roland, a knight of Charlemagne's court who was killed at the Battle of Roncevaux Pass",France
Samurai III: Duel at Ganryu Island,1956,0,0,0,0,,Japan
Ghost of Hanging in Utusunomiya,1956,0,0,0,0,,Japan
Dandy Sashichi Detective Story: Six Famous Beauties,1956,0,0,0,0,,Japan
The Seventh Seal,1957,1351,1351,1351,0,During the initial outbreak of the plague,Sweden
Throne of Blood,1957,0,0,0,0,,Japan
The Lord Takes a Bride,1957,0,0,0,0,,Japan
Yagyu Secret Scrolls,1957,0,0,0,0,,Japan
Akad? Suzunosuke: Tsukiyo no kaijin,1957,0,0,0,0,,Japan
Adauchi s?zenji baba,1957,0,0,0,0,,Japan
Souls in the Moonlight,1957,0,0,0,0,Awards: 1 Mainichi Film Concours,Japan
A Matter of Valor,1957,0,0,0,0,,Japan
Akad? Suzunosuke: Shingetsu-to no y?ki,1957,0,0,0,0,,Japan
The Prodigal Son,1957,0,0,0,0,,Japan
Demon Crusader,1957,0,0,0,0,Based on the novel of the same name.,Japan
The Idle Vassal: House of the Snake Princess,1957,0,0,0,0,,Japan
The Barbarian and the Geisha,1958,1856,1856,1856,0,,Japan
The Vikings,1958,860,860,860,0,highly fictionalized account of the death of Ragnar Lodbrok and the subsequent invasion of Northumbria by two of his sons,England
"Yagyu Secret Scrolls, Part II",1958,0,0,0,0,,Japan
Chushingura,1958,0,0,0,0,,Japan
Suzunosuke Akado: The Birdman with Three Eyes,1958,0,0,0,0,,Japan
Detective Hibari: Case of the Golden Hairpins,1958,0,0,0,0,,Japan
The Ballad of Narayama,1958,0,0,0,0,"Awards: 3 Kinema Junpo Awards, 3 Mainichi Film Concours",Japan
The 7th Secret Courier for Edo,1958,0,0,0,0,,Japan
The Hidden Fortress,1958,0,0,0,0,Awards: 1 Silver Bear Award,Japan
Goliath and the Barbarians,1959,568,568,568,0,the Lombard invasion of Italy,italy
The Last Days of Pompeii,1959,79,79,79,0,Pompeii in the days leading up to the eruption of Mount Vesuvius,Pompeii
Life of an Expert Swordsman,1959,0,0,0,0,,Japan
Hawk of the North,1959,0,0,0,0,,Japan
The Ghost of Yotsuya,1959,0,0,0,0,,Japan
Kager? Ezu,1959,0,0,0,0,,Japan
The Giant of Marathon,1959,490 BC,-490,-490,0,Greece: Battle of Marathon,"Marathon, Greece"
The Alamo,1960,1836,1836,1836,0,Battle of the Alamo during the Texas Revolution.,San Antonio
Austerlitz (1960 film),1960,1805,1805,1805,0,Portrays Napoleon in this film about his victory at the Battle of Austerlitz,Slavkov u Brna
Mughal-e-Azam,1960,1570/1580,1570,1570,0,"Set during the Mughal Empire, depicting fictional conflict between King Akbar and his son Crown Prince Salim over semi fictional courtesan Anarkali whose historical existence is very unlikely.",Agra
The Virgin Spring,1960,late 1300 ,1390,1390,0,"adaptation of the 13th century Swedish ballad, Töres döttrar i Wänge",Sweden
Revenge of the Barbarians,1960,410,410,410,0,the Visigothic sack of Rome,Rome
Shinsengumi: Last Days of the Shogunate,1960,0,0,0,0,,Japan
Revak the Rebel,1960,218 BC,-218,-218,0,Iberian Peninsula immediately before the Second Punic War,Iberian Peninsula
The Pharaohs' Woman,1960,3100 BC,-3100,-3100,0,"A beautiful girl and a young physician fall in love in the midst of a family, and power struggle between rival princes of Upper and Lower Egypt. Set shortly after the unification of Upper Egypt and Lower Egypt by the First Dynasty of Egypt.",Egypt
Yojimbo,1961,1860,1860,1860,0,,Japan
The Story of Osaka Castle,1961,0,0,0,0,,Japan
Samurai Hawk,1961,0,0,0,0,,Japan
Ak? R?shi,1961,0,0,0,0,,Japan
Miyamoto Musashi,1961,0,0,0,0,,Japan
Hangyakuji,1961,0,0,0,0,"Awards: 1 Blue Ribbon Award, 1 Mainichi Film Concours",Japan
The Centurion,1961,146 BC,-146,-146,0,Battle of Corinth between Rome and the Achaean League,Italy
The Colossus of Rhodes,1961,280 BC,-280,-280,0,Fictional account of the island of Rhodes during its Classical period in the late third century before coming under Roman control,Rhodes
Damon and Pythias,1961,400 BC,-400,-400,0,"Syracuse, Sicily","syracuse, italy"
The 300 Spartans,1961,480 BC,-480,-480,0,"Greece: Battle of Thermopylae, Greece","Thermopylae, Greece"
Duel of Champions,1961,650 BC,-650,-650,0,"Based on the Roman legend of the Horatii, set in the reign of Tullus Hostilius. The Roman Kingdom is at war with the city of Alba Longa and the outcome will by decided by champion warfare. Rome sends three brothers from gens Horatia and Alba Longa sends three brothers from gens Curiatia gens. Publius Horatius emerges as the sole survivor of the combat, and Alba Longa is annexed by the Roman Kingdom.",Rome
Romulus and the Sabines,1961,750 BC,-750,-750,0,"Based on the Rape of the Sabine Women, an origin myth for the Roman Kingdom. Shortly after the founding of the kingdom and the start of the reign of Romulus, Rome still lacks a female population and its residents can not reproduce. Romulus organizes bride kidnappings from neighboring people, primarily targeting the Sabines. This leads to a war between the Roman and Sabines, and the eventual assimilation of the Sabines by the Romans.",Rome
Duel of the Titans,1961,753 BC,-753,-753,0,"Based on the story of Romulus and Remus, and the founding of the city of Rome and the Roman Kingdom.",Rome
Mutiny on the Bounty,1962,1789,1789,1789,0,the Mutiny on the Bounty,Tahiti
Attack of the Normans,1962,early 900 ,900,900,0,"set in England during the Viking Age (""Normans"" in the title being used in its original continental sense, meaning ""Vikings"")",England
Pontius Pilate,1962,33 AD,33,33,0,Judea – The events surrounding the Passion of Jesus Christ focusing on Pontius Pilate.,Jerusalem
Sanjuro,1962,0,0,0,0,Sequel to the 1961 film Yojimbo.,Japan
In Search of Mother,1962,0,0,0,0,,Japan
"Shiro Amakusa, the Christian Rebel",1962,0,0,0,0,,Japan
The Tale of Zatoichi,1962,0,0,0,0,,Japan
The Tale of Zatoichi Continues,1962,0,0,0,0,,Japan
Miyamoto Musashi: Showdown at Hannyazaka Heights,1962,0,0,0,0,,Japan
The Slave,1962,48 BC,-48,-48,0,Unofficial sequel to Stanley Kubrick's 1960 film Spartacus,Italy
A Queen for Caesar,1962,48 BC,-48,-48,0,Egypt leading up to the arrival of Julius Caesar,Rome
Julius Caesar Against the Pirates,1962,75 BC,-75,-75,0,loosely based on actual events from the early life of Julius Caesar.,Rome
War Gods of Babylon,1962,627 BC,-627,-627,0,"Set in the Neo-Assyrian Empire; focusing largely on Sardanapalus (probably the Greek name for Ashurbanipal, but anachronistically including Zoroaster (11th–10th century BC) and Hammurabi (1792–1750 BC).",Hillah
The Rape of the Sabine Women,1962,750 BC,-750,-750,0,Adaptation of the Roman foundation myth about the abduction of Sabine women by the Romans shortly after the foundation of the city of Rome.,Rome
Sodom and Gomorrah,1962,2100 BC,-2100,-2100,0,An epic film which is loosely based on the tale of the cities Sodom and Gomorrah in the Book of Genesis.,Israel
Kings of the Sun,1963,1300,1300,1300,0,"On the coast of the Gulf of Mexico, the Native American tribe of chief Black Eagle clashes with the Mayan tribe of King Balam",Mexico
The Fall of Rome,1963,337,337,337,0,Rome based on the persecution of Christians after the death of Emperor Constantine,Rome
Shinsengumi Chronicles,1963,0,0,0,0,,Japan
An Actor's Revenge,1963,0,0,0,0,Remake of the 1935 film An Actor's Revenge.,Japan
Escape from Hell,1963,0,0,0,0,,Japan
The New Tale of Zatoichi,1963,0,0,0,0,,Japan
Sengoku Yaro,1963,0,0,0,0,,Japan
Castle of Owls,1963,0,0,0,0,,Japan
Cruel Tales of Bushido,1963,0,0,0,0,,Japan
Bloody Record of the Shinsengumi,1963,0,0,0,0,,Japan
Brave Records of the Sanada Clan,1963,0,0,0,0,,Japan
Seventeen Ninja,1963,0,0,0,0,,Japan
Zatoichi the Fugitive,1963,0,0,0,0,,Japan
Miyamoto Musashi: The Duel Against Yagyu,1963,0,0,0,0,,Japan
The Great Bandit,1963,0,0,0,0,,Japan
Sleepy Eyes of Death: The Chinese Jade,1963,0,0,0,0,,Japan
Zatoichi on the Road,1963,0,0,0,0,,Japan
Thirteen Assassins,1963,0,0,0,0,,Japan
"Brennus, Enemy of Rome",1963,387 BC,-387,-387,0,the Gallic sack of Rome,Rome
The Beast of Babylon Against the Son of Hercules,1963,539 BC,-539,-539,0,"A fictionalized account of the downfall of the Neo-Babylonian Empire and its conquest by the Achaemenid Empire under the Cyrus the Great. The cruel Balthazar (Belshazzar) has usurped the Babylonian throne and rules through state terrorism. He systematically offers young women as human sacrifice to his gods. Nippur, a descendant of former king Sargon II, fails to stop the usurper on his own. His life is saved by Zairus (Cyrus the Great) and he agrees to help the Persian king in his campaign to conquer Babylon. The historical Belshazzar was a son of king Nabonidus and served as a regent in his father's absence, but never became a king in his own right. During Cyrus' conquest, Nabonidus was captured and his life apparently spared, but Belshazzar may have died during the fall of the city.[1]",Hillah
I Am Semiramis,1963,810 BC,-810,-810,0,"Set in the Neo-Assyrian Empire, during the reign of semi-legendary queen Semiramis. The legends are in part based on the historical Shammuramat, queen consort of Shamshi-Adad V and regent for her son Adad-nirari III.",Hillah
Jason and the Argonauts,1963,1300 BC,-1300,-1300,0,"The story of Jason and Argonauts, a band of heroes in Greek mythology, who in the years before the Trojan War (around 1300 BC) accompanied Jason to Colchis in his quest to find the Golden Fleece.",Hisarlik
Zulu,1964,1879,1879,1879,0,The Battle of Rorke's Drift during the Anglo-Zulu War,South Africa
Shinobi no Mono 5: Mist Saizo Returns,1964,1616,1616,1616,0,,Japan
The Third Ninja,1964,1572,1572,1572,0,,Japan
Hamlet,1964,600,600,600,0,Denmark in the Germanic Heroic Age – this is a Russian adaptation of the Shakespeare play based on the Danish legend of Amleth,Denmark
Revolt of the Praetorians,1964,96,96,96,0,Rome – the assassination of Domitian,Rome
Miyamoto Musashi: The Duel at Ichijoji,1964,0,0,0,0,,Japan
Sleepy Eyes of Death: Sword of Adventure,1964,0,0,0,0,,Japan
Warrior of the Wind,1964,0,0,0,0,,Japan
Zatoichi and the Chest of Gold,1964,0,0,0,0,,Japan
Three Outlaw Samurai,1964,0,0,0,0,,Japan
Sleepy Eyes of Death: Full Circle Killing,1964,0,0,0,0,,Japan
Assassination,1964,0,0,0,0,,Japan
Sleepy Eyes of Death: Sword of Seduction,1964,0,0,0,0,,Japan
"Fight, Zatoichi, Fight",1964,0,0,0,0,,Japan
Adauchi,1964,0,0,0,0,,Japan
Onibaba,1964,0,0,0,0,,Japan
The Scarlet Camellia,1964,0,0,0,0,Awards: 1 Blue Ribbon Award,Japan
Adventures of Zatoichi,1964,0,0,0,0,,Japan
Bakumatsu zankoku monogatari,1964,0,0,0,0,Awards: 1 Blue Ribbon Award,Japan
Giants of Rome,1964,52 BC,-52,-52,0,The film involves a group of soldiers infiltrating the enemy's stronghold to locate and destroy a secret weapon prior to the Battle of Alesia.,Rome
Coriolanus: Hero without a Country,1964,493 BC,-493,-493,0,"The Roman legend of Gaius Marcius Coriolanus. Coriolanus is a Roman general who distinguishes himself in a war between the Roman Republic and the Volsci. When the aristocratic Coriolanus proposes political reforms which will severely reduce the rights of the plebs, most of the Romans turn against him and he is exiled. The vengeful Coriolanus offers his military services to the Volsci, and leads an invasion army against Rome. Coriolanus refuses requests for a peaceful resolution by his former countrymen, but changes his mind when the Romans send his own mother and his wife as their representatives.",Rome
Hero of Rome,1964,509 BC,-509,-509,0,"The story combines the Roman legends of Gaius Mucius Scaevola and the expulsion of king Lucius Tarquinius Superbus. In the film, Lucius Tarquinius Superbus has already been deposed, and the Roman Kingdom has been replaced by a Roman Republic. Lars Porsena, King of Clusium wages war against the Republic in an attempt to restore his ally Tarquinius to the throne. The Roman Senate offers the military leadership to Gaius Mucius Scaevola, a recently released prisoner of war whose right hand is permanently disabled. Scaevola trains himself to fight with his left hand, and leads his troops to victory against Lars Porsena.",Rome
Samurai Assassin,1965,0,0,0,0,,Japan
Kwaidan,1965,0,0,0,0,,Japan
Sleepy Eyes of Death: Sword of Fire,1965,0,0,0,0,,Japan
Red Beard,1965,0,0,0,0,,Japan
Zatoichi's Revenge,1965,0,0,0,0,,Japan
Sleepy Eyes of Death: Sword of Satan,1965,0,0,0,0,,Japan
Samurai Spy,1965,0,0,0,0,,Japan
Muh?matsu no issh?,1965,0,0,0,0,,Japan
Yotsuya Kaidan,1965,0,0,0,0,,Japan
Miyamoto Musashi: Musashi vs. Kojiro,1965,0,0,0,0,,Japan
Zatoichi and the Doomed Man,1965,0,0,0,0,,Japan
Sword of the Beast,1965,0,0,0,0,,Japan
Akuto,1965,0,0,0,0,,Japan
Zatoichi and the Chess Expert,1965,0,0,0,0,,Japan
Khartoum,1966,1884,1884,1884,0,Charles George Gordon defense of the Sudanese city of Khartoum from the forces of the army of Muhammad Ahmad during the Siege of Khartoum. Muhammad Ahmad had proclaimed himself to be the Mahdi.,Khartoum
"The Good, the Bad and the Ugly",1966,1862,1862,1862,0,Two bounty hunters in an uneasy alliance against a third attempt to find a stash of hidden Confederate gold in New Mexico in the middle of the chaos of the American Civil War,New Mexico
Shinobi no Mono 7: Mist Saizo Strikes Back,1966,1616,1616,1616,0,,Japan
The Sword of Doom,1966,0,0,0,0,Based on the novel of the same name.,Japan
Sleepy Eyes of Death: The Mask of the Princess,1966,0,0,0,0,,Japan
Kutsukake Tokijiro: Yukyo Ippiki,1966,0,0,0,0,,Japan
Daimajin,1966,0,0,0,0,,Japan
Zatoichi's Vengeance,1966,0,0,0,0,,Japan
Zatoichi's Pilgrimage,1966,0,0,0,0,,Japan
Sleepy Eyes of Death: Sword of Villainy,1966,0,0,0,0,,Japan
Samurai Wolf,1966,0,0,0,0,,Japan
The Blazing Sword,1966,0,0,0,0,,Japan
The Magic Serpent,1966,0,0,0,0,,Japan
Amrapali,1966,500 BC,-500,-500,0,Based on the life of Ambapali in India,
Pharaoh,1966,1069 BC,-1069,-1069,0,"Set in Ancient Egypt during the reign of a fictitious king ""Ramses XIII"" (there were only 11 kings by that name). The film is based on the novel Pharaoh by Boles?aw Prus, and depicts the final years of the historical Twentieth Dynasty of Egypt. Ramses XIII rises to the throne when still in his 20s, following the deaths of his father, and the incapacitating illnesses and (one suicide) of a number of older brothers. Egypt is in decline due to a combination of internal and external threats, and Ramses is pushing for necessary reforms but his efforts are resisted by the powerful, bureaucratic priesthood. Ramses dies young, before accomplishing his goals. His political rival ""Herhor"" (the historical Herihor) succeeds him on the throne and attempts some of the same reforms, but still fails to rescue Egypt from its decline.",Egypt
Viy,1967,1600,1600,1600,0,"Soviet horror film set in 16th century Ukraine, based on the story of the same name by Nikolai Gogol.",Ukraine
The Testament of Aga Koppanyi,1967,1586,1586,1586,0,"Hungarian adventure film based on the eponymous novel by István Fekete. It talks about the adventourous life of the Hungarian soldiers in the Ottoman Hungary, during the Ottoman–Hungarian wars.",Hungary
Hagbard and Signe,1967,500,500,500,0,Denmark during the Germanic Heroic Age,Denmark
The Viking Queen,1967,60,60,60,0,Britain – loosely based on the revolt of Boudica,UK
Massacre in the Black Forest,1967,9 AD,9,9,0,"Germany – The Battle of the Teutoburg Forest, where the Cherusci ambushed and annihilated three Roman legions.",Romania
Band of Ninja,1967,0,0,0,0,,Japan
Bakumatsu: Tenamonya daiz?d?,1967,0,0,0,0,,Japan
Samurai Wolf II,1967,0,0,0,0,,Japan
Samurai Rebellion,1967,0,0,0,0,,Japan
Sleepy Eyes of Death: A Trail of Traps,1967,0,0,0,0,,Japan
Zatoichi the Outlaw,1967,0,0,0,0,,Japan
Zenigata Heiji,1967,0,0,0,0,,Japan
The Wife of Seishu Hanaoka,1967,0,0,0,0,Based on the novel of the same name.,Japan
Eleven Samurai,1967,0,0,0,0,,Japan
Zatoichi Challenged,1967,0,0,0,0,,Japan
The Silent Stranger,1968,1865,1865,1865,0,,Japan
The Charge of the Light Brigade,1968,1854,1854,1854,0,The disaster of the Crimean War known as the Charge of the Light Brigade. It took place within the Battle of Balaclava.,Balaklava
