Title,Release date,Time Period,Start Time,End Time,Location,genre_ids,movie_id,original_language,overview,popularity,title,video,vote_average,vote_count,genres
The Scorpion King 2: Rise of a Warrior,2008,2334-2284 BC/ 1792 - c. 1750 BC,-2334,-2284,Egypt,"[28, 12, 14, 878]",13486,en,"The heroic tale of young Mathayus and his relentless quest for justice against an evil and powerful villain, King Sargon. Mathayus faces heart-stopping tribulations during his adventurous, odds-defying trajectory toward his ultimate destiny: becoming the formidable warrior king of an ancient desert empire.",23.063,The Scorpion King 2: Rise of a Warrior,False,4.6,458.0,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Sodom and Gomorrah,1962,2100 BC,-2100,-2100,Israel,"[12, 18, 36]",43011,en,"Sex, torture and betrayal in Biblical Sodom and Gomorrah. Lot, leader of the Hebrews, believes his people can co-exist with the Sodomites, a disastrous decision.",9.394,Sodom and Gomorrah,False,4.8,20.0,"['Adventure', 'Drama', 'History']"
Abraham,1993,2100-2000 BC,-2100,-2000,Israel,"[18, 12, 36]",2701,en,"This engrossing dramatization of the life of Abraham, the most tested servant of God and the father of Judaism, spans from the patriarch's quest for the Promised Land to the sacrifice of his son, Isaac.",5.468,Abraham,False,6.1,17.0,"['Drama', 'Adventure', 'History']"
Mohenjo Daro,2016,2016 BC,-2016,-2016,Mohenjo-daro,"[12, 18, 36, 10749]",402672,hi,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.",7.042,Mohenjo Daro,False,6.4,61.0,"['Adventure', 'Drama', 'History', 'Romance']"
Mohenjo Daro,2016,2016 BC,-2016,-2016,Mohenjo-daro,"[12, 18, 36, 10749]",402672,hi,"During the Indus valley civilization, an Indigo farmer strives for the justice and protection of the city of Mohenjo-Daro and its civilians from an evil politician.",7.042,Mohenjo Daro,False,6.4,61.0,"['Adventure', 'Drama', 'History', 'Romance']"
Jacob,1994,2000 BC (according to 00e Hebrew calendar),-2000,-2000,Damascus,"[36, 18, 10770]",2712,en,"In this inspiring tale from the book of Genesis, young shepherd Jacob (Matthew Modine) falls in love with and wants to marry Rachel (Lara Flynn Boyle), the daughter of his Uncle Laban (Giancarlo Giannini). Lacking a dowry, Jacob toils seven years as his uncle's indentured servant to win Rachel's hand. But calculating Laban dupes him into another seven years of labor. Irene Papas portrays Jacob's iron-willed mother.",4.834,Jacob,False,5.9,26.0,"['History', 'Drama', 'TV Movie']"
Slave of Dreams,1995,1901-1850 BC,-1901,-1850,Egypt,[],225417,en,The Egyptian executioner's wife tries to seduce Hebrew slave Joseph to fulfill a dream they are experiencing simultaneously.,0.916,Slave of Dreams,False,0.0,0.0,[]
Joseph,1995,1901-1850 BC,-1901,-1850,Egypt,"[18, 36]",2405,en,"The Biblical story of Joseph, who was sold to slavery by his brothers who were jealous of his prophetic abilities to analyze dreams and of his being their fathers' favorite.",27.752,Joseph,False,8.4,118.0,"['Drama', 'History']"
"Atlantis: End of a World, Birth of a Legend",2011,1600 BC,-1600,-1600,Santorini,"[28, 18]",83975,en,"Tells the story of the greatest natural disaster of the ancient world, an event that experts believe inspired the legend of Atlantis.",4.113,"Atlantis: End of a World, Birth of a Legend",False,5.9,24.0,"['Action', 'Drama']"
"Nefertiti, Queen of the Nile",1961,1370-1330 BC,-1370,-1330,Egypt,"[18, 36]",77971,it,Chronicles the rise and fall of the woman who eventually became known as Queen Nefertiti.,4.473,"Nefertiti, Queen of the Nile",False,4.8,12.0,"['Drama', 'History']"
The Egyptian,1954,1350 BC,-1350,-1350,Egypt,"[36, 18]",24973,en,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",6.651,The Egyptian,False,6.2,56.0,"['History', 'Drama']"
Jason and the Argonauts,1963,1300 BC,-1300,-1300,Hisarlik,"[12, 10751, 14]",11533,en,"Jason, a fearless sailor and explorer, returns to his home land of Thessaly after a long voyage to claim his rightful throne. He learns, however, that he must first find the magical Golden Fleece. To do so, he must embark on an epic quest fraught with fantastic monsters and terrible perils.",26.401,Jason and the Argonauts,False,7.1,428.0,"['Adventure', 'Family', 'Fantasy']"
The Prince of Egypt,1998,1290-1213 BC,-1290,-1213,Egypt,"[12, 16, 18, 10751]",9837,en,"This is the extraordinary tale of two brothers named Moses and Ramses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on earth, and the other the chosen leader of his people! Their final confrontation will forever change their lives and the world.",31.087,The Prince of Egypt,False,7.2,3083.0,"['Adventure', 'Animation', 'Drama', 'Family']"
Exodus: Gods and Kings,2014,1290-1213 BC,-1290,-1213,Egypt,"[12, 18, 28]",147441,en,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.",70.862,Exodus: Gods and Kings,False,5.8,3852.0,"['Adventure', 'Drama', 'Action']"
The Ten Commandments,1956,1290-1213 BC,-1290,-1213,Egypt,"[18, 36]",6844,en,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",48.887,The Ten Commandments,False,7.7,1088.0,"['Drama', 'History']"
Immortals,2011,1228 BC,-1228,-1228,Athens,"[14, 28, 18]",37958,en,"Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.",21.166,Immortals,False,5.9,2075.0,"['Fantasy', 'Action', 'Drama']"
The Avenger,1962,1200-1150 BC,-1200,-1150,Anatolia,"[36, 12]",194798,it,"Aeneas leads escapees from the Trojan war to new land in Italy, and must deal with new threats to his people.",1.59,The Avenger,False,5.5,9.0,"['History', 'Adventure']"
Iphigenia,1977,1200-1150 BC,-1200,-1150,Aulis,"[28, 18]",46278,el,"The Greek army is about to set sail to a great battle, but the winds refuse to blow. Their leader, King Agamemnon, seeks to provide better food, but accidentally slays a sacred deer. His punishment from the gods, the sacrifice of his daughter Iphigenia.",3.022,Iphigenia,False,7.0,24.0,"['Action', 'Drama']"
The Trojan Women,1971,1200-1150 BC,-1200,-1150,Anatolia,[18],47446,en,"Hecuba and the other women of Troy rise to find their city in ruins and their cause lost. The city has fallen into Greek hands and it is likely their lot to become slaves of Greek soldiers. A messenger approaches to inform them that the lots have been drawn and each woman will be taken to the man who drew for her. Of particular interest is Hecuba's daughter, Cassandra, who is chosen for the Greek kings bedchamber. She has received word of this news already and is in hiding because she has sworn an oath to the gods that she will live as a virgin. When she is found she has some particularly nasty things to say about treatment at Greek hands.",3.339,The Trojan Women,False,6.5,14.0,['Drama']
The Trojan Horse,1961,1200-1150 BC,-1200,-1150,Anatolia,"[36, 12]",146023,it,"Guerra di Troia (AKA: Trojan Horse) is a 1961 historical drama film set in the tenth and final year of the Trojan War. The film focuses primarily on the exploits of the Trojan hero Aeneas during this time. The film was directed by Giorgio Ferroni and starred Steve Reeves as Aeneas and John Drew Barrymore as Odysseus.  From Wikipedia, the free encyclopedia",4.296,The Trojan Horse,False,5.6,14.0,"['History', 'Adventure']"
Electra,1962,1200-1150 BC,-1200,-1150,Mycenae,[18],420343,el,Filmed version of stage director Takis Mouzenidis' production of the Sophocles tragedy.,0.6,Electra,False,0.0,0.0,['Drama']
Ulysses,1954,1200-1150 BC,-1200,-1150,Anatolia,"[12, 14]",43194,en,"A movie adaptation of Homer's second epic, that talks about Ulysses' efforts to return to his home after the end of ten years of war.",12.399,Ulysses,False,6.4,111.0,"['Adventure', 'Fantasy']"
The Odyssey,1997,1200-1150 BC,-1200,-1150,Anatolia,"[36, 12, 18]",853081,de,,4.374,The Odyssey,False,6.5,3.0,"['History', 'Adventure', 'Drama']"
Helen of Troy,1956,1200-1150 BC,-1200,-1150,Anatolia,"[36, 12]",42658,en,"Prince Paris of Troy, shipwrecked on a mission to the king of Sparta, meets and falls for Queen Helen before he knows who she is. Rudely received by the royal Greeks, he must flee...but fate and their mutual passions lead him to take Helen along. This gives the Greeks just the excuse they need for much-desired war.",5.768,Helen of Troy,False,6.4,29.0,"['History', 'Adventure']"
Troy,2004,1200-1150 BC,-1200,-1150,Anatolia,"[12, 36, 10752]",652,en,"In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans.",59.205,Troy,False,7.1,8287.0,"['Adventure', 'History', 'War']"
Electra,1962,1200-1150 BC,-1200,-1150,Mycenae,"[28, 36, 18]",47447,el,"Living in exile after the death of their father, the grown children of a murdered and usurped king converge to exact eye-for-an-eye revenge.",1.641,Electra,False,7.0,17.0,"['Action', 'History', 'Drama']"
Samson,2018,1118-1078 BC,-1118,-1078,Gaza,"[28, 18, 12]",474392,en,"After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.",43.471,Samson,False,5.8,181.0,"['Action', 'Drama', 'Adventure']"
Samson and Delilah,1949,1118-1078 BC,-1118,-1078,Gaza,"[18, 10749, 12]",29993,en,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret. The classic story of Samson and Delilah as told by Cecil B. DeMille.",26.322,Samson and Delilah,False,6.5,130.0,"['Drama', 'Romance', 'Adventure']"
The Last Woman of Shang,1964,1075-1046 BC,-1075,-1046,China,"[36, 18]",221077,zh,"Admist a rebellion during the Ching Dynasty in ancient China, a nurse flees the palace with a young prince. As an adult, he convinces the daughter of the usurper to betray her father and to assist in restoring him as the rightful monarch.",2.613,The Last Woman of Shang,False,7.0,1.0,"['History', 'Drama']"
Pharaoh,1966,1069 BC,-1069,-1069,Egypt,"[36, 18]",5040,pl,"Young Pharaoh Ramses XIII clashes with Egypt's clergy over influence on the affairs of the state and its coffers. inexperienced, but quite ambitious pharaoh is putting up a fight against a powerful clan of priests usurping rule over the country.",4.576,Pharaoh,False,6.8,50.0,"['History', 'Drama']"
King David,1985,1040-970 BC,-1040,-970,Israel,"[28, 12, 36, 18]",42040,en,This is a movie about the life of Israel's king David.,9.821,King David,False,5.2,35.0,"['Action', 'Adventure', 'History', 'Drama']"
A Story of David,1960,1040-970 BC,-1040,-970,Israel,[18],193114,en,"Directed by Bob McNaught. King Saul of Israel is jealous of the fame and adoration of David, who long ago slew Goliath and brought victory to Saul's armies. Now Saul, egged on by his Edomite counselor Doeg, attempts to have David killed. Saul's son, and David's best friend, Jonathan, conspires to help David, who is reluctant to fight back against his own people the Israelites.",1.763,A Story of David,False,4.0,2.0,['Drama']
David and Goliath,1960,1040-970 BC,-1040,-970,Israel,"[18, 28, 36]",92750,it,"Orson Welles stars in this familiar Old Testament tale about the Philistines and the Israelites. When the Philistines attack, the Israelites are hopeless against the fierce giant Goliath and don't know what to do. King Saul takes the advice of the prophets and sends an adolescent shepherd, David, into battle to conquer the oversized Philistine. David is victorious and becomes the King of Israel.",4.28,David and Goliath,False,3.5,11.0,"['Drama', 'Action', 'History']"
David and Bathsheba,1951,1040-970 BC,-1040,-970,Israel,"[18, 10749, 36]",42567,en,"King David enters into an adulterous affair with the beautiful Bathsheba, which has tragic consequences for his family and Israel.",10.226,David and Bathsheba,False,6.3,36.0,"['Drama', 'Romance', 'History']"
Solomon and Sheba,1959,1011-931 BC,-1011,-931,Israel,"[36, 10749]",29996,en,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.",19.343,Solomon and Sheba,False,6.3,57.0,"['History', 'Romance']"
Sins of Jezebel,1953,874-853 BC,-874,-853,Israel,[],242481,en,"Biblical costume drama starring Paulette Goddard as the beautiful pagan Jezebel, corruptor of men.",1.831,Sins of Jezebel,False,4.0,1.0,[]
I Am Semiramis,1963,810 BC,-810,-810,Hillah,"[18, 36, 10749]",60915,it,"Semiramis, a powerful and beautiful Assyrian queen, oversees the construction of the luxurious city of Babylon. She falls in love with Kir, a fallen prince turned into a slave who corresponds to her love. But a palace conspiracy will make the two lovers separate and confront each other.",1.256,I Am Semiramis,False,7.0,1.0,"['Drama', 'History', 'Romance']"
Duel of the Titans,1961,753 BC,-753,-753,Rome,"[14, 28, 12]",96786,it,"Twin brothers were raised by wolves, revolt against tyranny in pre-Roman Italy and then come to a parting of the ways as they lead their people toward the founding of a new city, the founders of Rome.",3.996,Duel of the Titans,False,4.9,16.0,"['Fantasy', 'Action', 'Adventure']"
Romulus and the Sabines,1961,750 BC,-750,-750,Rome,[12],138519,it,"An Italian adventure film starring Roger Moore as Romulus in the early days of Rome. His city of thieves is populated entirely by men, and so Romulus is convinced to find some ladies. After finding some in Sabinia, he proceeds to take them to his city and engage them to his men. The Sabines declare war and battle ensues.",2.206,Romulus and the Sabines,False,5.8,6.0,['Adventure']
Duel of Champions,1961,650 BC,-650,-650,Rome,"[12, 36]",172747,it,"A Roman nobleman, Horatius leads an imperial legion during the long and bloody war between the Romans and the Albans.  A desperate arrangement is agreed on how to settle the war.  Three valiant brothers are chosen from each side to fight one last fierce and bloody duel...",2.406,Duel of Champions,False,5.0,3.0,"['Adventure', 'History']"
War Gods of Babylon,1962,627 BC,-627,-627,Hillah,[],256724,it,"Noble, wise King Sardanapolo and his more soft and naive younger brother Prince Sammash get into a bitter feud over the affections of sweet and alluring innocent peasant girl Mirra. Meanwhile, the treacherous and ruthlessly ambitious General Arbace plots against both siblings.",0.724,War Gods of Babylon,False,7.0,1.0,[]
Sacrifice,2010,607-581 BC,-607,-581,China,"[18, 28, 36, 53]",55741,zh,"For generations the Zhao family has wielded power, until their mortal enemy TU’AN GU slaughters the entire clan, determined to wipe out their influence forever. But one Zhao baby survives hidden by CHENG YING the doctor who delivered him. When Tu’an Gu learns of the baby’s escape he seizes every infant in the city, vowing to kill them all unless the Zhao baby is surrendered. As the tyrant’s soldiers arrive at Cheng Ying’s home the frantic doctor hides his wife with their own baby whilst surrendering the Zhao child as his own. But his family is discovered; his baby is presumed to be the Zhao heir and murdered along with his wife for harboring the infant. Now set on revenge Cheng Ying enrolls the Zhao orphan into the service of the Tu’an Gu household, plotting to use him as an instrument of vengeance when he comes of age.",7.604,Sacrifice,False,6.0,31.0,"['Drama', 'Action', 'History', 'Thriller']"
The Book of Daniel,2013,605 BC,-605,-605,"Jerusalem, Israel","[14, 18]",227859,en,"Taken into slavery after the fall of Jerusalem in 605 B.C., Daniel is forced to serve the most powerful king in the world, King Nebuchadnezzar. Faced with imminent death, Daniel proves himself a trusted Advisor and is placed among the king's wise men. Threatened by death at every turn Daniel never ceases to serve the king until he is forced to choose between serving the king or honoring God. With his life at stake, Daniel has nothing but his faith to stand between him and the lions den.",54.863,The Book of Daniel,False,7.3,57.0,"['Fantasy', 'Drama']"
Siddhartha,1972,563/480 - 483/400 BC,-563,-483,Kapilavastu,"[18, 9648]",60595,en,"Siddhartha is the story of a young Brahmin and his search for a meaningful way of life. His journey takes him through periods of harsh asceticism, sensual pleasures, material wealth, self-revulsion and eventually to the oneness and harmony that he had been seeking. The story is based on the best-selling novel by German Nobel Prize winner Hermann Hesse.",3.485,Siddhartha,False,5.2,16.0,"['Drama', 'Mystery']"
Confucius,1940,551-479 BC,-551,-479,China,[18],257701,zh,"The film depicts Confucius's later life, as he traveled across a China divided by war and strife in an ultimately futile effort to teach various warlords and kings his particular philosophy.",0.673,Confucius,False,6.5,2.0,['Drama']
Vijaya Kuweni,2012,543-505 BC,-543,-505,India,"[36, 10749]",809088,si,The legends of Ceylon's first king and his yaksha clan queen.,0.6,Vijaya Kuweni,False,0.0,0.0,"['History', 'Romance']"
Hero of Rome,1964,509 BC,-509,-509,Rome,[],187852,it,"In ancient Rome, the people finally oust their despised king, Tarquinius, and declare the city a republic. Tarquinius makes an alliance with the Etruscan king, Porsenna, to take back power in Rome, but a Roman general, the heroic Mucius, sets out to stop him. Written by frankfob2",0.979,Hero of Rome,False,3.9,4.0,[]
Confucius,2010,505-479 BC,-505,-479,China,"[18, 36]",34182,zh,"In 500 B.C., during Chinas famed 'Spring and Autumn Period', Kong Ze (Confucius), a commoner reverred for his outstanding wisdom, is made Minister of Law in the ancient Kingdom of Lu. Under his inspired leadership, Lu ascends to new heights but becomes a target of conquest for the warlike nation of Qi. Threatened with annihilation by their powerful neighbour, a desperate people turn to their greatest teacher to lead their most powerful army. When Confucius delivers a stunning victory against all odds, a jealous aristocracy sets out to destroy him, but they should never under-estimate a remarkable man whose wisdom is more powerful than the sword.",7.726,Confucius,False,6.0,79.0,"['Drama', 'History']"
Amrapali,1966,500 BC,-500,-500,,"[10752, 14, 36]",205077,hi,"After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.",2.08,Amrapali,False,6.2,5.0,"['War', 'Fantasy', 'History']"
Coriolanus: Hero without a Country,1964,493 BC,-493,-493,Rome,[36],330154,it,Coriolanus leads the plebians in a revolt against Roman oppression.,1.432,Coriolanus: Hero without a Country,False,0.0,0.0,['History']
The Giant of Marathon,1959,490 BC,-490,-490,"Marathon, Greece","[36, 12, 18, 10752]",18696,it,A Greek soldier leads the fight against an invading Persian army.,2.523,The Giant of Marathon,False,5.4,18.0,"['History', 'Adventure', 'Drama', 'War']"
Esther and the King,1960,486-482 BC,-486,-482,Anshan,[18],168408,en,"Recently widowed Persian King Ahasuerus wants to marry the beautiful Esther. But Esther is a Jewess, and Haman, the king's evil minister, is spreading hatred against the Jews.  Set in the  4th century B.C., this Biblical epic stars Richard Egan (Demetrius And The Gladiators, A Summer Place) as Ahasuerus and Italian leading man Sergio Fantoni as Haman.  Esther is portrayed by none other than Joan Collins, who would later gain fame as the scheming Alexis Carrington, in the hit TV series Dynasty.  Directed by Raoul Walsh (The Thief of Bagdad, High Sierra, White Heat).  1960 / Running Time: 109 min. / Color",3.134,Esther and the King,False,5.3,8.0,['Drama']
One Night with the King,2006,486-482 BC,-486,-482,Anshan,[18],15005,en,"This amazing biblical drama chronicles the brave and historic legend of Hadassah, a Jewish orphan with exceptional beauty who rises to become Queen Esther of Persia and saves Persian Jews from genocide. By revealing her heritage to the king, Esther thwarts the evil prime minister's plan to annihilate all Jews in the Persian Empire. The annual festival of Purim is inspired by her heroism.",9.963,One Night with the King,False,6.6,46.0,['Drama']
300: Rise of an Empire,2014,480 BC,-480,-480,Salamis,"[28, 18]",53182,en,"Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistokles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",46.963,300: Rise of an Empire,False,6.1,5405.0,"['Action', 'Drama']"
300,2007,480 BC,-480,-480,"Thermopylae, Greece","[28, 12, 10752]",1271,en,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",38.406,300,False,7.2,11428.0,"['Action', 'Adventure', 'War']"
Little Big Soldier,2010,475-221 BC,-475,-221,China,"[28, 35, 12]",35138,zh,"The story of a farmer forced into conscription, who has been looking to get out of the army ever since. His great chance arrives when he stumbles upon a wounded general from an enemy state, and he kidnaps him, intending to claim credit for the capture, which includes five ""mu"" of land, and most importantly, honorable discharge from the army.",11.531,Little Big Soldier,False,6.9,211.0,"['Action', 'Comedy', 'Adventure']"
Socrates,1971,399 BC,-399,-399,Athens,"[18, 36]",74778,it,A false accusation leads the philosopher Socrates to trial and condemnation in 4th century BC Athens.,2.66,Socrates,False,7.1,28.0,"['Drama', 'History']"
"Brennus, Enemy of Rome",1963,387 BC,-387,-387,Rome,[36],318570,it,"AKA: Brennus, Enemy of Rome, AKA: Battle of the Valiant  A 1963 film about the sack of Rome in 387 BC",1.96,"Brennus, Enemy of Rome",False,3.0,2.0,['History']
Hercules,2014,358 BC,-358,-358,Thrace,"[28, 12]",184315,en,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",70.902,Hercules,False,5.7,3446.0,"['Action', 'Adventure']"
Hercules,2014,358 BC,-358,-358,Thrace,[],630648,en,"Follow the legendary Hercules in this animated feature. In this adventure, he battles against the Amazons, confronts a three-headed dog, and captures the Oxen of Geryon.",0.845,Hercules,False,0.0,0.0,[]
Hercules,2014,358 BC,-358,-358,Thrace,[35],480448,bn,"Hercules is the story of a common man: His actual name is Harakailash, his timid nature and compromising attitude has prompted the local people to call him Hercules in jest.",0.885,Hercules,False,5.0,1.0,['Comedy']
Alexander the Great,1956,356-323 BC,-356,-323,Skopje,"[28, 12, 18, 36, 10752]",42668,en,"He was a fierce military commander who led huge armies into battle without a single defeat; a magnificent warrior who many believed was part god - this was Alexander the Great (Richard Burton), the legendary Greek hero hailed by his countrymen as ""The King of Kings"". Born in 356 B.C. into a turbulent world of political unrest, educated by Aristotle (Barry Jones) and chosen to lead his people in the grand tradition of his powerful father (Fredric March), this glamorous world conqueror rose above all conflict to unite the continents of Europe and Asia to become one of the most celebrated rulers of all time! Written, produced and directed by Oscar - winner Robert Rossen and featuring the extraordinary Claire Bloom and a remarkable cast of thousands, this stunning portrait of one of history's most fascinating figures is colossal entertainment and an amazing spectacle.",8.102,Alexander the Great,False,5.8,60.0,"['Action', 'Adventure', 'Drama', 'History', 'War']"
Alexander,2004,356-323 BC,-356,-323,Skopje,"[10752, 36, 28, 12, 18, 10749]",1966,en,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",24.173,Alexander,False,5.9,2685.0,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']"
