name,title list,director_id,gender,director_popularity,movie_id,title
Chester Erskine,Androcles and the Lion,50765.0,2.0,1.025,48646,Androcles and the Lion
Chester Withey,Richard the Lion-Hearted,89179.0,0.0,0.694,727288,Richard the Lion-Hearted
Cheung Yam-Yim,Shaolin Temple,1342845.0,0.0,0.98,10275,Shaolin Temple
Chris Newby,Anchoress,1063201.0,0.0,0.6,116233,Anchoress
Christian Duguay,Augustine: The Decline of the Roman Empire,25735.0,2.0,1.877,47145,Augustine: The Decline of the Roman Empire
Christophe Gans,Brotherhood of the Wolf,8296.0,2.0,2.824,6312,Brotherhood of the Wolf
Christopher Nolan,The Prestige,525.0,2.0,19.162,1124,The Prestige
Christopher Smith,Black Death,41041.0,2.0,6.312,41215,Black Death
Chuck Russell,The Scorpion King,26713.0,2.0,9.715,9334,The Scorpion King
Clara Law,The Great Conqueror's Concubine,96449.0,1.0,0.732,69046,The Great Conqueror's Concubine
Clarence Brown,"Conquest, Song of Love",84034.0,2.0,1.4,30630,Conquest
Clarence Brown,"Conquest, Song of Love",84034.0,2.0,1.4,130899,Song of Love
Claude Lelouch,Les Miserables,16862.0,2.0,4.378,48750,Les Miserables
Claude Lelouch,Les Miserables,16862.0,2.0,4.378,48750,Les Miserables
Claude Lelouch,Les Miserables,16862.0,2.0,3.882,48750,Les Miserables
Claudio Bondi,The Voyage Home,1347706.0,0.0,0.6,450529,The Voyage Home
Clive Donner,"Alfred the Great, Stealing Heaven, The Scarlet Pimpernel",33513.0,2.0,3.847,23615,The Scarlet Pimpernel
Clive Donner,"Alfred the Great, Stealing Heaven, The Scarlet Pimpernel",33513.0,2.0,3.847,115457,Stealing Heaven
Clive Donner,"Alfred the Great, Stealing Heaven, The Scarlet Pimpernel",33513.0,2.0,3.847,73672,Alfred the Great
Conrad Rooks,Siddhartha,110588.0,2.0,2.682,60595,Siddhartha
Curtis Bernhardt,Beau Brummell,33062.0,2.0,1.956,43331,Beau Brummell
Cy Endfield,Zulu,76882.0,2.0,1.38,14433,Zulu
Daniel Lee Yan-Kong,"White Vengeance, Three Kingdoms: Resurrection of the Dragon",57832.0,2.0,4.312,81344,White Vengeance
Daniel Lee Yan-Kong,"White Vengeance, Three Kingdoms: Resurrection of the Dragon",57832.0,2.0,4.312,14538,Three Kingdoms: Resurrection of the Dragon
Daniel Vigne,The Return of Martin Guerre,38494.0,2.0,4.199,4483,The Return of Martin Guerre
David A.R. White,The Book of Esther,116431.0,2.0,1.974,199153,The Book of Esther
David Butler,King Richard and the Crusaders,76381.0,2.0,4.907,51227,King Richard and the Crusaders
David Giles,Sense and Sensibility,1228986.0,0.0,0.996,243987,Sense and Sensibility
David Hugh Jones,"Pericles, Prince of Tyre",78514.0,2.0,2.222,119925,"Pericles, Prince of Tyre"
David Jackson,Roar,44683.0,2.0,1.729,800709,Roar
David Mackenzie,Outlaw King,3055.0,2.0,1.978,454227,Outlaw King
David Mcwhinnie,The Bruce,932867.0,0.0,0.98,280431,The Bruce
David Miller,Diane,73256.0,2.0,1.891,177046,Diane
Delmer Daves,Demetrius and the Gladiators,76981.0,2.0,1.166,43332,Demetrius and the Gladiators
Denys de La Patellière,Marco the Magnificent,24389.0,2.0,1.532,131384,Marco the Magnificent
Derek Jarman,Sebastiane,86290.0,2.0,1.516,42241,Sebastiane
Diarmuid Lawrence,Emma,71950.0,2.0,1.468,12254,Emma
Dick Powell,The Conqueror,19328.0,2.0,1.632,24751,The Conqueror
Ding Sheng,Little Big Soldier,110511.0,2.0,1.96,35138,Little Big Soldier
Dmitriy Vasilev,Alexander Nevsky,1187223.0,2.0,2.062,10235,Alexander Nevsky
Dominique Othenin-Girard,The Crusaders,32813.0,2.0,1.311,44151,The Crusaders
Don Chaffey,"Jason and the Argonauts, The Viking Queen",25558.0,2.0,4.688,11533,Jason and the Argonauts
Don Chaffey,"Jason and the Argonauts, The Viking Queen",25558.0,2.0,3.806,40456,The Viking Queen
Donald G. Jackson,Ride with the Devil,88939.0,2.0,1.595,419311,Ride with the Devil
Doug Lefler,The Last Legion,58656.0,2.0,1.912,9703,The Last Legion
Douglas Hickox,"The Master of Ballantrae, Zulu Dawn",100979.0,2.0,1.107,18061,Zulu Dawn
Douglas Hickox,"The Master of Ballantrae, Zulu Dawn",100979.0,2.0,1.107,134794,The Master of Ballantrae
Douglas McGrath,Emma,32983.0,2.0,2.816,3573,Emma
Douglas Sirk,Sign of the Pagan,46712.0,2.0,1.4,205331,Sign of the Pagan
Eddie Romero,Aguila,8333.0,2.0,1.452,253816,Aguila
Edgar G. Ulmer,Hannibal,5030.0,2.0,0.74,169818,Hannibal
Edouard Salier,Empire,1668438.0,0.0,0.6,741236,Empire
Edward Zwick,"Glory, The Last Samurai",9181.0,2.0,5.454,9665,Glory
Edward Zwick,"Glory, The Last Samurai",9181.0,2.0,5.454,616,The Last Samurai
Eliot Elisofon,Khartoum,104764.0,0.0,0.612,29710,Khartoum
Elisabetta Marchetti,Joseph of Nazareth,27435.0,1.0,1.01,58441,Joseph of Nazareth
Ellis R. Dungan,Ambikapathy,2003866.0,2.0,0.6,513160,Ambikapathy
Enzo Williams,Bonifacio: Ang Unang Pangulo,1429393.0,0.0,0.766,317161,Bonifacio: Ang Unang Pangulo
Eric Till,Luther,35325.0,2.0,2.36,5653,Luther
Ernst Marischka,Sissi,6241.0,2.0,5.185,457,Sissi
Errikos Thalassinos,Μπουμ Ταρατατζούμ,1330452.0,2.0,4.286,178184,Μπουμ Ταρατατζούμ
Fei Mu,Confucius,233200.0,2.0,1.889,257701,Confucius
Felix Chong,The Lost Bladesman,66719.0,2.0,1.034,62977,The Lost Bladesman
Ferdinando Baldi,In the Shadow of the Eagles,41159.0,2.0,1.421,270673,In the Shadow of the Eagles
Ferdinando Baldi,"David and Goliath, Massacre in the Black Forest",41159.0,2.0,1.4,186909,Massacre in the Black Forest
Ferdinando Baldi,"David and Goliath, Massacre in the Black Forest",41159.0,2.0,0.84,92750,David and Goliath
Ferenc Kósa,Judgement,1180630.0,0.0,0.612,286601,Judgement
Fernando Cerchio,Toto and Cleopatra,227773.0,2.0,0.6,81908,Toto and Cleopatra
Fernando Cerchio,"Cleopatra's Daughter, Nefertiti, Queen of the Nile",227773.0,2.0,0.6,257797,Cleopatra's Daughter
Fernando Cerchio,"Cleopatra's Daughter, Nefertiti, Queen of the Nile",227773.0,2.0,0.6,77971,"Nefertiti, Queen of the Nile"
Franco Prosperi,Slave of Rome,99437.0,2.0,1.485,284016,Slave of Rome
Franco Zeffirelli,"Brother Sun, Sister Moon",24657.0,2.0,3.766,2587,"Brother Sun, Sister Moon"
Frank Lloyd,Mutiny on the Bounty,72061.0,2.0,0.6,12311,Mutiny on the Bounty
Frankie Chan Fan-Kei,Legendary Amazons,1011224.0,2.0,7.895,82190,Legendary Amazons
Franklin J. Schaffner,The War Lord,13265.0,2.0,8.319,42664,The War Lord
François Girard,The Red Violin,78012.0,2.0,2.321,14283,The Red Violin
Fraser Clarke Heston,Treasure Island,66076.0,0.0,8.496,26612,Treasure Island
Fred Zinnemann,A Man for All Seasons,4065.0,2.0,1.457,874,A Man for All Seasons
Félix Enríquez Alcalá,Roar,77211.0,2.0,4.315,800709,Roar
Félix Llorente,Anonymous,1901581.0,0.0,0.6,479882,Anonymous
Gabriel Axel,Hagbard and Signe,70636.0,2.0,4.072,198783,Hagbard and Signe
Gabriel Pascal,Caesar and Cleopatra,101373.0,0.0,1.4,31561,Caesar and Cleopatra
George B. Seitz,The Last of the Mohicans,89749.0,2.0,1.838,23108,The Last of the Mohicans
George Bloomfield,Riel,1212567.0,2.0,0.732,287558,Riel
George Marshall,How the West Was Won,19093.0,2.0,1.838,11897,How the West Was Won
George P. Cosmatos,Tombstone,16566.0,2.0,3.669,11969,Tombstone
George Roy Hill,Butch Cassidy and the Sundance Kid,9577.0,2.0,2.326,642,Butch Cassidy and the Sundance Kid
George Schaefer,Barefoot in Athens,11035.0,2.0,1.4,383695,Barefoot in Athens
George Sidney,"Jupiter's Darling, Young Bess",21506.0,2.0,1.122,44711,Young Bess
George Sidney,"Jupiter's Darling, Young Bess",21506.0,2.0,1.122,113743,Jupiter's Darling
George T. Miller,Robinson Crusoe,1174031.0,2.0,4.324,11210,Robinson Crusoe
George Zervoulakos,Lysistrata,1119957.0,2.0,1.4,286405,Lysistrata
Georgiy Kropachyov,Viy,225721.0,2.0,0.6,57230,Viy
Gerald Thomas,Carry On Cleo,40940.0,2.0,1.4,5066,Carry On Cleo
Gheorghe Vitanidis,Burebista,1324764.0,2.0,0.6,316167,Burebista
Giacomo Gentilomo,"Brennus, Enemy of Rome",223398.0,0.0,0.6,318570,"Brennus, Enemy of Rome"
Gian Paolo Callegari,Pontius Pilate,93955.0,0.0,1.214,187938,Pontius Pilate
Gianfranco Parolini,The Old Testament,37742.0,2.0,4.48,330395,The Old Testament
Giles Foster,Northanger Abbey,126566.0,2.0,1.313,59172,Northanger Abbey
Giorgio Ferroni,"The Trojan Horse, Hero of Rome, Coriolanus: Hero without a Country",33724.0,2.0,1.094,330154,Coriolanus: Hero without a Country
Giorgio Ferroni,The Lion of Thebes,33724.0,2.0,1.176,211139,The Lion of Thebes
Giorgio Ferroni,"The Trojan Horse, Hero of Rome, Coriolanus: Hero without a Country",33724.0,2.0,1.094,146023,The Trojan Horse
Giorgio Ferroni,"The Trojan Horse, Hero of Rome, Coriolanus: Hero without a Country",33724.0,2.0,0.98,187852,Hero of Rome
Giorgio Venturini,The Avenger,1175084.0,0.0,0.6,194798,The Avenger
Giovanni Pastrone,Cabiria,41611.0,2.0,1.48,5153,Cabiria
Giuseppe Laganà,Hercules,1039403.0,0.0,0.84,630648,Hercules
Giuseppe Vari,Attack of the Normans,50778.0,0.0,1.214,6614,Attack of the Normans
Gordon Hessler,Journey of Honor,82505.0,2.0,4.583,40789,Journey of Honor
Gore Verbinski,The Lone Ranger,1704.0,2.0,2.998,57201,The Lone Ranger
Graham Holloway,Chasing the Deer,2219805.0,0.0,0.6,339477,Chasing the Deer
Gregor Jordan,Ned Kelly,57030.0,2.0,1.4,10544,Ned Kelly
Griffin Yueh Feng,The Last Woman of Shang,240182.0,2.0,0.828,221077,The Last Woman of Shang
Grigori Kozintsev,Hamlet,562326.0,2.0,2.813,71317,Hamlet
Guido Brignone,Beatrice Cenci,232144.0,2.0,0.84,378147,Beatrice Cenci
Gunasekhar,Rudhramadevi,932644.0,2.0,0.6,315009,Rudhramadevi
Gustav Machatý,Conquest,101374.0,2.0,0.6,30630,Conquest
Gábor Koltay,The Conquest,149111.0,0.0,0.6,80205,The Conquest
Hamish Downie,Silence,2288003.0,2.0,0.6,645124,Silence
Harold Young,The Scarlet Pimpernel,103344.0,2.0,1.286,22614,The Scarlet Pimpernel
Harry Watt,Eureka Stockade,550392.0,2.0,0.98,68113,Eureka Stockade
He Ping,"Wheat, Warriors of Heaven and Earth",77305.0,2.0,1.052,14797,Warriors of Heaven and Earth
He Ping,"Wheat, Warriors of Heaven and Earth",77305.0,2.0,1.052,30600,Wheat
Henri Helman,Charlotte Corday,24867.0,2.0,5.056,537037,Charlotte Corday
Henry Hathaway,"The Black Rose, How the West Was Won",37360.0,2.0,5.635,44398,The Black Rose
Henry Hathaway,"The Black Rose, How the West Was Won",37360.0,2.0,4.117,11897,How the West Was Won
Henry King,David and Bathsheba,37362.0,2.0,1.632,42567,David and Bathsheba
Henry Koster,The Robe,33064.0,2.0,1.828,29912,The Robe
Henry Levin,"Genghis Khan, The Dark Avenger",39743.0,2.0,2.087,4868,Genghis Khan
Henry Levin,"Genghis Khan, The Dark Avenger",39743.0,2.0,2.087,75796,The Dark Avenger
Hiroshi Inagaki,Samurai I: Musashi Miyamoto,108012.0,2.0,6.864,31372,Samurai I: Musashi Miyamoto
Howard McCain,Outlander,65525.0,2.0,4.203,10529,Outlander
Hrafn Gunnlaugsson,"When the Raven Flies, In the Shadow of the Raven",80919.0,0.0,1.96,16853,In the Shadow of the Raven
Hrafn Gunnlaugsson,"When the Raven Flies, In the Shadow of the Raven",80919.0,0.0,1.96,16852,When the Raven Flies
Hugh Hudson,Revolution,58220.0,2.0,2.112,12701,Revolution
Hugo Fregonese,Marco Polo,31336.0,2.0,3.65,131387,Marco Polo
Hwang Dong-hyuk,The Fortress,1294471.0,2.0,11.722,437081,The Fortress
Iain B. MacDonald,Mansfield Park,80161.0,2.0,5.814,16236,Mansfield Park
Ian Toynton,Roar,33056.0,2.0,2.216,800709,Roar
Ingmar Bergman,"The Seventh Seal, The Virgin Spring",6648.0,2.0,12.466,490,The Seventh Seal
Ingmar Bergman,"The Seventh Seal, The Virgin Spring",6648.0,2.0,12.466,11656,The Virgin Spring
Irving Lerner,The Royal Hunt of the Sun,83918.0,2.0,0.6,202886,The Royal Hunt of the Sun
Irving Rapper,Pontius Pilate,93904.0,2.0,5.751,187938,Pontius Pilate
Isshin Inudo,The Floating Castle,99245.0,2.0,1.96,209032,The Floating Castle
J. Gordon Edwards,Cleopatra,592830.0,2.0,1.4,39950,Cleopatra
J. Lee Thompson,Kings of the Sun,18669.0,2.0,2.654,80027,Kings of the Sun
