name,actor_id,count
Allan Paule,1064538.0,2
Allan Rich,568531.0,1
Allan Sutherland,1749815.0,1
Allen Bickford,1619132.0,1
Allen D. Sewall,1096851.0,1
Allen Dizon,1062683.0,2
Allen Jaffe,154432.0,1
Allen Keller,1910658.0,1
Allison Hayes,104412.0,1
Allu Arjun,108215.0,1
Alma Kruger,30242.0,1
Alma Soriano,1355466.0,1
Almut Berg,47037.0,1
Alonzo Greer,2991093.0,1
Alonzo Price,1091307.0,1
Alton Denmore,2086697.0,1
Alun Armstrong,2629.0,3
Alun Raglan,1052482.0,1
Alvin Anson,231981.0,3
Alvin Burke Deer,1747657.0,1
Alyy Khan,81837.0,1
Alžběta Jenická,1547785.0,1
Amadou Traore,2298855.0,1
Amalia Fuentes,1075161.0,1
Amanda Barrie,40961.0,1
Amanda Boxer,1231417.0,1
Amanda Donohoe,18191.0,1
Amanda Hale,239877.0,1
Amanda Henderson,1278561.0,1
Amanda Plummer,99.0,1
Amanda Redman,70633.0,1
Amanda Root,30318.0,1
Amanda Ryan,129192.0,1
Amanda Seyfried,71070.0,1
Amanda Walker,108620.0,1
Amanda Webb,1641188.0,1
Amber Glossop,1947686.0,1
Amber Rissmann,1544740.0,1
Amber Rose Revah,574378.0,1
Ambrose Coghill,1363663.0,1
Amedeo Delle Piane,1383085.0,1
Amedeo Nazzari,31989.0,2
Amedeo Trilli,1126387.0,1
Amedeo Vecci,1425172.0,1
Amee Gray,2503757.0,1
Ameer Al Assmi,3151593.0,1
Amelia Crow Show,2498732.0,1
Amelia Jefford,1278526.0,1
Amelia Scaramucci,1278552.0,1
Amelia Warner,23496.0,1
Amena Mohamed,1917968.0,1
Amerigo Castrighella,1046525.0,1
Amick Byram,169893.0,1
Amid Taftazani,955618.0,1
Amilcar Ramírez,17683.0,1
Amin Zendegani,2693170.0,1
Amira Casar,20577.0,1
Amitabh Bachchan,35780.0,3
Ammel Rodrigo Mendoza,42020.0,1
Amole Gupte,52773.0,1
Amrik Singh,231348.0,1
Amy Cyr,2918965.0,1
Amy Ellen Richardson,1278566.0,1
Amy Esacove,1574301.0,1
Amy Griffiths,1278559.0,1
Amy Hunter,154011.0,1
Amy Kwolek,1240496.0,1
Amy Veness,126123.0,1
Amy Werba,27415.0,1
Amza Pellea,556457.0,2
Amélie Sorel,84586.0,1
Ana Bertha Lepe,589792.0,1
Ana María Espejo,2007128.0,1
Anand,1333243.0,1
Anand Ramaraju,3237639.0,1
Anastasiya Dontsova,126860.0,1
Anastasiya Vertinskaya,99261.0,1
Anastasiya Yaremenko,2479362.0,1
Anatole Taubman,62892.0,2
